total_loss,exit1_loss,exit2_loss,full_loss,cascade_loss,diversity_loss,distribution_loss,actual_exit1_rate,actual_exit2_rate,exit1_confidence,exit2_confidence,full_confidence,confidence_std_exit1,confidence_std_exit2,curriculum_exit1_threshold,curriculum_exit2_threshold,temperature1_clamped,temperature2_clamped,temperature_full_clamped
689.8833580078125,708.285589453125,606.3062049560547,734.8903771972656,0.0954376394033432,0.07443591869175434,0.12642000024300068,0.1788,0.1092,0.2265024444192648,0.19232775652408599,0.7048075788974763,0.023986625573597847,0.06926497948961333,0.4000000059604645,0.5,1.5603521201133728,1.8909458932876586,0.5419807238578797
450.57342697753904,420.1263619262695,383.65946545410156,521.0555825439453,0.11617247917056084,0.052227007240056994,0.12833000166993588,0.0842,0.0324,0.0541783915579319,0.02977022631764412,0.654510745716095,0.0811436492998153,0.041410586942732336,0.4124999940395355,0.512499988079071,1.6017088083267212,2.127588364982605,0.5
406.39832670898437,360.0690498413086,351.9224151123047,491.51759738769533,0.1125925401866436,0.0,0.14805000357627868,0.0,0.0234,0.0,0.01927033420801163,0.6179750415563583,0.0,0.029094315028190612,0.42500001192092896,0.5249999761581421,1.6321044564247131,2.2637301187515257,0.5
390.1369874633789,350.4760991699219,341.5885248779297,483.0929204223633,0.12842586438655854,0.0,0.1522200035572052,0.0008,0.0,0.0,0.0,0.6263289127349854,0.0,0.0,0.4375,0.5375000238418579,1.6223440170288086,2.247873498916626,0.5
383.08522198486327,346.5252598999023,338.3928585205078,479.1608375854492,0.139712652271986,0.0,0.15243000357151032,0.0002,0.0,0.0,0.0,0.6635069662094116,0.0,0.0,0.44999998807907104,0.550000011920929,1.6130306124687195,2.2349710971832275,0.5
381.9295278686524,344.9465257324219,337.3312642944336,478.3024693725586,0.14119740679264067,0.0,0.15243000357151032,0.0002,0.0,0.0,0.0,0.6280411463022232,0.0,0.0,0.4625000059604645,0.5625,1.6041642427444458,2.222733736038208,0.5
379.9268672241211,344.3696104980469,335.52564274902346,474.6105168334961,0.1460181808769703,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5210013270378113,0.0,0.0,0.4749999940395355,0.574999988079071,1.5958506779670716,2.2112594842910767,0.5
375.047769128418,339.98236527099607,330.94326566162107,468.8446949584961,0.14148281680941582,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5399563571691514,0.0,0.0,0.48750001192092896,0.5874999761581421,1.5882849889755248,2.2006810791015625,0.5
372.2466552368164,338.8805731567383,328.4630289794922,463.91670802001954,0.13978531816601752,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.6349815924167633,0.0,0.0,0.5,0.6000000238418579,1.5814493560791016,2.1911747455596924,0.5
370.3239844970703,337.57416097412107,326.57101232910156,461.33657294921875,0.14179195533394814,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.439949470436573,0.0,0.0,0.512499988079071,0.612500011920929,1.5753251910209656,2.1826807260513306,0.5
369.8096762695312,337.6601702026367,326.2619423095703,459.9453221191406,0.15974929698705673,0.0,0.15243000357151032,0.0002,0.0,0.0,0.0,0.37911993580460546,0.0,0.0,0.5249999761581421,0.625,1.5699604153633118,2.1752296686172485,0.5
367.65042607421873,336.0634304321289,324.51832233886716,456.66872506103516,0.16360218622684478,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.48893155736923216,0.0,0.0,0.5375000238418579,0.637499988079071,1.5654897093772888,2.1689707040786743,0.5
364.99703052978515,334.0014894165039,322.1728900756836,453.0127288696289,0.1667829483270645,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.4213992553114891,0.0,0.0,0.550000011920929,0.6499999761581421,1.5617641806602478,2.163754940032959,0.5
365.49885439453124,334.816478515625,322.5030603881836,453.4308342407227,0.16332579288482665,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.3520525583565235,0.0,0.0,0.5625,0.6625000238418579,1.5587091445922852,2.1595821380615234,0.5
363.19093811035157,333.0456384643555,320.3877284301758,450.32897838134767,0.16383373556137085,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5056191662967205,0.0,0.0,0.574999988079071,0.675000011920929,1.556399166584015,2.1564525365829468,0.5
363.4536962158203,334.6333327026367,320.3887654663086,449.6152667724609,0.16679385576248168,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5729524271011353,0.0,0.0,0.5874999761581421,0.6875,1.5547598004341125,2.154217004776001,0.5
360.13724920654295,331.8114784179688,317.45750216064454,445.2907783203125,0.16602072781324387,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5624051239967346,0.0,0.0,0.6000000238418579,0.699999988079071,1.5536420345306396,2.152726650238037,0.5
361.05662319335937,332.3363070678711,318.19781231689456,446.8432628662109,0.16714655725955962,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5734519744634629,0.0,0.0,0.612500011920929,0.7124999761581421,1.5528968572616577,2.1516834497451782,0.5
358.1594346191406,330.0650261291504,315.84457756347655,442.5950421264648,0.16628096534013748,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.561002813911438,0.0,0.0,0.625,0.7250000238418579,1.5524497032165527,2.151087164878845,0.5
360.29656654052735,332.03793990478516,317.7456724975586,445.2110730957031,0.16648602188825606,0.0,0.1525000035762787,0.0,0.0,0.0,0.0,0.5291638494253158,0.0,0.0,0.637499988079071,0.737500011920929,1.5522261261940002,2.1507891416549683,0.5
