loss,early_loss,full_loss,diversity_loss,agreement_loss,confidence,confidence_std
0.19322685829997063,0.3807582177877426,0.10933790937451413,0.0006238050666283996,0.018131338299810885,0.2257581884741783,0.08537979607582093
0.1450994119644165,0.39930594289302823,0.0003635274615560775,0.00024931538556612347,0.019942469134926796,0.41484283051490783,0.1278950008496642
0.13532769508361817,0.3097333827972412,9.042951265146258e-05,0.00016004516228609335,0.015477751952409744,0.5580395798206329,0.1376573601797223
0.13712372437119483,0.2677775425195694,3.678758018941153e-05,6.0477241483424705e-05,0.013384562887251377,0.6228056601047516,0.14572243055701256
0.1307464481472969,0.23766456423997878,7.3367324193895915e-06,3.000481814316024e-05,0.011880493006110191,0.5572122423410416,0.14780972393751143
0.11942828849852086,0.21706014954149724,3.143690889919526e-06,4.5277643929265344e-05,0.010851364312879742,0.5543259433031082,0.14671471224725247
0.10978794784843922,0.19948298011124135,2.304988295509247e-06,7.242877796078606e-05,0.009972876806370915,0.6784809344291687,0.14445707436203956
0.10409158692881465,0.1891127149671316,1.52022366064557e-06,7.966476731749515e-05,0.009454805145785212,0.7021973032474518,0.1430247670710087
0.09992109631747008,0.18156259794086219,1.0889174255680701e-06,6.177042925518961e-05,0.009077482562232763,0.7273647583007813,0.14445346331596373
0.09713942764028907,0.1765065891996026,7.642361352623083e-07,6.088250806348372e-05,0.008824868829827756,0.725200296163559,0.1445469782024622
0.09504600806981325,0.17271660484150053,7.220440873084045e-07,5.19549453426976e-05,0.008635389927355573,0.721337383890152,0.14552061216533185
0.09299553923271596,0.16899870127812028,3.745878166512284e-07,4.629659958314456e-05,0.008449704900104552,0.7342989318847656,0.14567579200565814
0.09156581224948168,0.1664036740362644,2.1694369609690512e-07,4.3811165080790195e-05,0.00832005572579801,0.7421322798252106,0.14634792637079955
0.09067182972617448,0.16478225233107804,1.8060567371094294e-07,4.161259713880048e-05,0.008239000970683991,0.747390517282486,0.14640662758946418
0.08958102789185941,0.16280430844351648,9.19292029124108e-08,3.866662328753257e-05,0.008140161284571514,0.7399654079437256,0.14652126867473125
0.08893390555344521,0.16162435420304536,6.423051871990992e-08,4.051505456753317e-05,0.00808118136236444,0.7348724433898925,0.14616148751676084
0.08864715080335736,0.1611149298377335,4.18859979660624e-08,3.394032250308794e-05,0.008055725045222789,0.7331082403182984,0.14665793202221394
0.08820072172358633,0.16029898427091538,3.149587664665887e-08,3.627995170709072e-05,0.008014933808660136,0.7355018433094025,0.14656655113101005
0.08757982464861125,0.1591868743300438,2.6089848766730484e-08,2.7042797707556067e-05,0.007959331762301736,0.7337124021053314,0.1471908320695162
0.0876837535802275,0.1593652002647519,2.271810841421029e-08,3.289301688813247e-05,0.0079682496430818,0.7329337162494659,0.14707208747640252
